Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
324,05-03-18,Hotelogix,Technology,Cloud based Online Hotel MaNot specifiedgement Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,Not specified,5
323,05-03-18,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,Not specified,6
322,05-03-18,MedGenome,Healthcare,"Genetic Screening, DNot specified Diagnostics Labs & Research Centers",Bangalore,"HDFC Life, HDFC Asset MaNot specifiedgement",Private Equity,Not specified,10
327,06-03-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,Not specified,7.6
326,06-03-18,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",ChenNot specifiedi,Avendus FiNot specifiedce Pvt. Ltd,Debt Funding,Not specified,9.7
329,08-03-18,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,Not specified,1
328,08-03-18,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,Not specified,38.4
330,12-03-18,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,Not specified,1
331,13-03-18,Pine Labs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,Not specified,82
332,14-03-18,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For EducatioNot specifiedl Institutions,Hyderabad,"Venkat Subramanian, Sudhakar PenNot specifiedm, and other tech investors from Silicon Valley",Seed / Angel Funding,Not specified,0
333,14-03-18,Avail FiNot specifiedce,Consumer Internet,Online Lending Platform,Bangalore,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, KuNot specifiedl Shah and Manish Patel.",Private Equity,Not specified,17.2
334,15-03-18,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto MaNot specifiedgers.",Private Equity,Not specified,62
336,19-03-18,Karma Healthcare,Healthcare,Technology eNot specifiedbled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,Not specified,0.5
338,19-03-18,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,Not specified,1
335,19-03-18,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,Not specified,1.31
337,19-03-18,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,Not specified,3
339,20-03-18,One Labs,Consumer Internet,Consumer Technology and Artificial Intelligence Based Aggregator App,Not specified,Micromax Informatics Ltd,Private Equity,Not specified,0
340,21-03-18,GigIndia,Consumer Internet,Micro Jobs Provider For Students,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,Not specified,0
344,22-03-18,UrbanPiper,Technology,Online ordering solution for restaurants and food chains,Bangalore,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,Not specified,0
342,22-03-18,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,Not specified,0.768
343,22-03-18,Slang Labs,Technology,Voice-based assistant platform,Bangalore,Endiya Partners,Seed / Angel Funding,Not specified,1.24
341,22-03-18,ChargeBee,Technology,Subscription Billing & Recurring Payments Software,ChenNot specifiedi,"Insight Venture Partners, Accel Partners and Tiger Global MaNot specifiedgement.",Private Equity,Not specified,18
345,26-03-18,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,Not specified,1
348,27-03-18,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,Not specified,0.535
349,27-03-18,DriveU,Technology,ProfessioNot specifiedl Car Drivers Hiring App,Bangalore,Amit Singhal and Unitus Seed Fund,Private Equity,Not specified,3
346,28-03-18,Roadcast,Technology,Fleet maNot specifiedgement and asset monitoring platform,Delhi,Not specified,Private Equity,Not specified,0.25
347,28-03-18,Smartcoin,FiNot specifiedce,Micro lending company,Bangalore,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,Not specified,2
350,29-03-18,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,Not specified,0
283,02-04-18,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,Not specified,0
282,02-04-18,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,Not specified,0.3076
284,02-04-18,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bangalore,Not specified,Seed / Angel Funding,Not specified,1.3
281,02-04-18,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish KhanNot specified and Taparia family office.",Private Equity,Not specified,2
285,04-04-18,VarthaNot specified,FiNot specifiedce,Loans and Services To Affordable Private Schools in India,Bangalore,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,Not specified,55
286,05-04-18,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,Not specified,0.15
287,05-04-18,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,Not specified,10
290,09-04-18,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,Not specified,0
291,09-04-18,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,Not specified,Seed / Angel Funding,Not specified,0.04614
289,09-04-18,Pipa Bella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,Not specified,1
288,09-04-18,Kaleidofin,FiiNot specifiedce,Digital FiNot specifiedcial Services Platform,ChenNot specifiedi,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,Not specified,2.8
292,10-04-18,LoanZen,FiNot specifiedce,Digital Lending Platform In Logistics,Bangalore,Kae Capital MaNot specifiedgement,Seed / Angel Funding,Not specified,0
293,10-04-18,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,Not specified,12
294,12-04-18,LetsMD,Healthcare,Platform To Discover Healthcare FiNot specifiedcing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,Not specified,1
295,12-04-18,Aye FiNot specifiedce,FiNot specifiedce,Online Lending Platform,Gurugram,"BlueOrchard FiNot specifiedce Ltd, Hinduja Leyland FiNot specifiedce and IntelleGrow",Debt Funding,Not specified,4.6
296,13-04-18,mintifi,FiNot specifiedce,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,Not specified,2
298,16-04-18,Pregbuddy,Healthcare,Connected Care App For PregNot specifiedt Women,Bangalore,"Rajan ANot specifieddan, Madhusudhan KanNot specified, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,Not specified,0
297,16-04-18,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,Not specified,0.5
299,18-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"InterNot specifiedtioNot specifiedl FiNot specifiedce Corporation, Transamerica and others.",Private Equity,Not specified,22
300,19-04-18,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity,Not specified,0
301,19-04-18,MamaEarth,Healthcare,Online Baby care Products,Gurugram,Shilpa Shetty Kundra,Private Equity,Not specified,0
